Designator,Mid X,Mid Y,Rotation,Layer
BT1,265.065443,-118.012392,250.0,top
BT2,50.505301,-118.0325,110.0,top
D1,161.765443,-76.912393,270.0,bottom
D10,233.765443,-88.912393,270.0,bottom
D11,161.765443,-110.912393,270.0,bottom
D12,179.765443,-100.912393,270.0,bottom
D13,197.765443,-95.912393,270.0,bottom
D14,215.765443,-100.912393,270.0,bottom
D15,233.765443,-105.912393,270.0,bottom
D16,253.765443,-118.162393,270.0,bottom
D17,257.765443,-118.162393,270.0,bottom
D18,65.661034,-71.9325,270.0,bottom
D19,83.661034,-66.9325,270.0,bottom
D2,179.765443,-66.912393,270.0,bottom
D20,101.661034,-61.9325,270.0,bottom
D21,119.661034,-66.9325,270.0,bottom
D22,137.661034,-76.9325,270.0,bottom
D23,65.661034,-88.9325,270.0,bottom
D24,83.661034,-83.9325,270.0,bottom
D25,101.661034,-78.9325,270.0,bottom
D26,119.661034,-83.9325,270.0,bottom
D27,137.661034,-93.9325,270.0,bottom
D28,65.661034,-105.9325,270.0,bottom
D29,83.661034,-100.9325,270.0,bottom
D3,197.765443,-61.912393,270.0,bottom
D30,101.661034,-95.9325,270.0,bottom
D31,119.661034,-100.9325,270.0,bottom
D32,137.661034,-110.9325,270.0,bottom
D33,59.411034,-117.2825,270.0,bottom
D34,63.661034,-117.2825,270.0,bottom
D4,215.765443,-66.912393,270.0,bottom
D5,233.765443,-71.912393,270.0,bottom
D6,161.765443,-93.912393,270.0,bottom
D7,179.765443,-83.912393,270.0,bottom
D8,197.765443,-78.912393,270.0,bottom
D9,215.765443,-83.912393,270.0,bottom
J1,266.727243,-111.16773,250.0,top
J2,48.828864,-111.193594,110.0,top
LED1,170.165443,-74.262393,180.0,bottom
LED10,241.955443,-86.262393,0.0,bottom
LED11,170.165443,-108.262393,180.0,bottom
LED12,188.165443,-98.262393,180.0,bottom
LED13,206.165443,-93.262393,180.0,bottom
LED14,224.165443,-98.262393,180.0,bottom
LED15,242.165443,-103.262393,180.0,bottom
LED16,252.786572,-124.837392,200.0,bottom
LED17,268.211485,-135.362392,200.0,bottom
LED18,73.851034,-69.2975,0.0,bottom
LED19,91.851034,-64.2975,0.0,bottom
LED2,188.165443,-64.262393,180.0,bottom
LED20,109.851034,-59.2975,0.0,bottom
LED21,127.851034,-64.2975,0.0,bottom
LED22,145.851034,-74.2975,0.0,bottom
LED23,74.061034,-86.2975,180.0,bottom
LED24,92.061034,-81.2975,180.0,bottom
LED25,110.061034,-76.2975,180.0,bottom
LED26,128.061034,-81.2975,180.0,bottom
LED27,146.061034,-91.2975,180.0,bottom
LED28,73.851034,-103.2975,0.0,bottom
LED29,91.851034,-98.2975,0.0,bottom
LED3,206.165443,-59.262393,180.0,bottom
LED30,109.851034,-93.2975,0.0,bottom
LED31,127.851034,-98.2975,0.0,bottom
LED32,145.851034,-108.2975,0.0,bottom
LED33,47.661034,-135.407331,340.0,bottom
LED34,63.257983,-125.712949,340.0,bottom
LED4,224.165443,-64.262393,180.0,bottom
LED5,242.165443,-69.262393,180.0,bottom
LED6,169.955443,-91.262393,0.0,bottom
LED7,187.955443,-81.262393,0.0,bottom
LED8,205.955443,-76.262393,0.0,bottom
LED9,223.955443,-81.262393,0.0,bottom
O1,264.115565,-103.299786,0.0,top
O2,51.386095,-103.319893,0.0,top
SW1,170.010443,-78.962393,0.0,top
SW10,242.010443,-90.962393,0.0,top
SW11,170.010443,-112.962393,0.0,top
SW12,188.010443,-102.962393,0.0,top
SW13,206.010443,-97.962393,0.0,top
SW14,224.010443,-102.962393,0.0,top
SW15,242.010443,-107.962393,0.0,top
SW16,251.010443,-129.262393,340.0,top
SW17,266.460356,-139.787393,340.0,top
SW18,264.115565,-65.512286,180.0,top
SW19,272.284385,-100.43354,270.0,top
SW2,188.010443,-68.962393,0.0,top
SW20,73.906034,-73.9825,0.0,top
SW21,91.906034,-68.9825,0.0,top
SW22,109.906034,-63.9825,0.0,top
SW23,127.906034,-68.9825,0.0,top
SW24,145.906034,-78.9825,0.0,top
SW25,73.906034,-90.9825,0.0,top
SW26,91.906034,-85.9825,0.0,top
SW27,109.906034,-80.9825,0.0,top
SW28,127.906034,-85.9825,0.0,top
SW29,145.906034,-95.9825,0.0,top
SW3,206.010443,-63.962393,0.0,top
SW30,73.906034,-107.9825,0.0,top
SW31,91.906034,-102.9825,0.0,top
SW32,109.906034,-97.9825,0.0,top
SW33,127.906034,-102.9825,0.0,top
SW34,145.906034,-112.9825,0.0,top
SW35,49.242725,-139.663611,20.0,top
SW36,64.911034,-130.048552,20.0,top
SW37,51.386095,-65.532393,180.0,top
SW38,43.246095,-100.452393,90.0,top
SW4,224.010443,-68.962393,0.0,top
SW5,242.010443,-73.962393,0.0,top
SW6,170.010443,-95.962393,0.0,top
SW7,188.010443,-85.962393,0.0,top
SW8,206.010443,-80.962393,0.0,top
SW9,224.010443,-85.962393,0.0,top
